BubbleSort reversed values 0-4000;33959;137955;311953;555947;869945;1253938;1707938;2231933;2825932;3489928;4223926;5027922;5901920;6845914;7859910;8943907;10097907;11321901;12615897;13979903;15413896;16917889;18491890;20135883;21849878;23633873;25487871;27411863;29405872;31469867;33603862;35807855;38081853;40425850;42839849;45323842;47877836;50501827;53195822;55959821;58793819
CountingSort values 0-5;1200;2400;3600;4800;6000;7200;8400;9600;10800;12000;13200;14400;15600;16800;18000;19200;20400;21600;22800;24000;25200;26400;27600;28800;30000;31200;32400;33600;34800;36000;37200;38400;39600;40800;42000;43200;44400;45600;46800;48000;49200
CountingSort sorted values 0-5;1100;2300;3500;4700;5900;7100;8300;9500;10700;11900;13100;14300;15500;16700;17900;19100;20300;21500;22700;23907;25194;26400;27600;28800;30000;31200;32400;33600;34800;36000;37200;38400;39600;40800;42000;43200;44400;45600;46800;48000;49200
CountingSort almost sorted values 0-5;1200;2400;3600;4800;6000;7200;8400;9600;10800;12000;13200;14400;15600;16800;18000;19200;20400;21600;22800;24000;25200;26400;27600;28800;30000;31200;32400;33600;34800;36000;37200;38400;39600;40800;42000;43200;44400;45600;46800;48000;49200
CountingSort reversed values 0-5;1100;2300;3500;4700;5900;7100;8300;9500;10700;11900;13100;14300;15500;16700;17900;19100;20300;21500;22700;23906;25192;26400;27600;28800;30000;31200;32400;33600;34800;36000;37200;38400;39600;40800;42000;43200;44400;45600;46800;48000;49200
CountingSort values 0-4000;20795;22150;23409;24641;25862;27075;28282;29492;30694;31896;33099;34300;35500;36700;37900;39100;40300;41500;42700;43900;45100;46300;47500;48700;49900;51100;52300;53500;54700;55900;57100;58300;59500;60700;61900;63100;64300;65500;66700;67900;69100
CountingSort sorted values 0-4000;1616;3310;4992;6678;8365;10051;11739;13434;15123;16805;18478;20166;21857;23550;25233;26915;28591;30284;31974;33660;35341;37037;38731;40415;42103;43787;45475;47161;48859;50548;52249;53937;55627;57310;59004;60694;62378;64065;65748;67452;69100
CountingSort almost sorted values 0-4000;19979;21878;23187;24442;25705;26928;28165;29372;30595;31808;33015;34222;35437;36645;37848;39057;40259;41464;42666;43869;45071;46275;47475;48676;49876;51079;52282;53482;54683;55884;57087;58287;59487;60689;61892;63093;64293;65494;66695;67895;69100
CountingSort reversed values 0-4000;1602;3296;4995;6673;8368;10052;11737;13425;15121;16804;18502;20192;21885;23582;25268;26958;28643;30331;32029;33709;35390;37083;38769;40459;42139;43822;45512;47200;48894;50581;52263;53941;55628;57315;59003;60684;62375;64061;65742;67437;69100
FirstIverson values 0-5;22003;90081;203991;362937;567855;818444;1114859;1456495;1844726;2279305;2760007;3286116;3858925;4474002;5139154;5850586;6606926;7408983;8254951;9146153;10087842;11075047;12101408;13175190;14297751;15465619;16681387;17943127;19255222;20600288;21999362;23444992;24929838;26463439;28046045;29668552;31347309;33070011;34833146;36640471;38489189
FirstIverson sorted values 0-5;200;500;800;1100;1400;1700;2000;2300;2600;2900;3200;3500;3800;4100;4400;4700;5000;5300;5600;5900;6200;6500;6800;7100;7400;7700;8000;8300;8600;8900;9200;9500;9800;10100;10400;10700;11000;11300;11600;11900;12200
FirstIverson almost sorted values 0-5;6756;27772;62260;110602;173570;249119;345467;558317;837940;1166085;1530869;1930741;2346171;2828363;3306157;3841508;4379693;4987907;5626722;6283238;6988294;7685053;8460473;9240046;10051313;10918346;11814744;12727133;13661953;14643436;15656722;16687931;17766324;18890715;20006515;21139375;22333587;23558630;24838755;26125204;27447176
