Sort;50;100;150;200;250;300
QuickSort values 0-5;1260;3810;7424;12068;17675;24411
QuickSort sorted values 0-5;3549;7849;12196;16705;21380;26272
QuickSort almost sorted values 0-5;1833;4997;8524;12745;19255;29983
QuickSort reversed values 0-5;3696;13003;29243;51033;79760;114065
QuickSort values 0-4000;1008;2548;4282;6141;8053;10052
QuickSort sorted values 0-4000;2571;10097;22462;39649;61646;88502
QuickSort almost sorted values 0-4000;1526;3942;6777;10309;15285;20921
QuickSort reversed values 0-4000;3250;13000;28750;51000;79250;114000
