Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
BubbleSort values 0-5;8463;24072;40285;61101;86809;117550;153128;193397;237285;287375;340458;398142;459173;525009;600676;674405;761346;842541;933944;1021258;1173509;1216617;1340527;1446223;1564791;1723599;1810195;1942483;2063971;2211339;2347960;2526552;2664699;2838431;2982390;3124518;3302822;3496856;3678440;3837862;4038395
BubbleSort sorted values 0-5;1786;6371;14171;24648;38026;54209;74531;95010;120006;148600;178723;212587;249553;288331;330497;376480;424298;475115;528741;586128;644535;706047;818772;839872;924782;999338;1062186;1145098;1231069;1330863;1410103;1515163;1604430;1706445;1786750;1887068;2016507;2103996;2225607;2358804;2442636
BubbleSort almost sorted values 0-5;2642;10156;21871;36973;56260;78625;105549;136281;169534;208402;251212;292232;345169;401552;451286;506183;570360;636482;710264;793712;861601;942772;1032903;1102621;1189683;1288165;1396550;1486639;1581600;1680713;1780883;1908245;2010441;2115676;2234164;2347972;2458672;2583585;2702881;2829386;2949612
BubbleSort reversed values 0-5;1806;6409;17738;24540;38055;58130;82425;157139;235520;318876;403911;493956;574403;692269;836796;991031;1137816;1299001;1471786;1626442;1832903;2044807;2272752;2494967;2718721;2958365;3186896;3478461;3763106;4072981;4371623;4653622;4968269;5293786;5648382;5994216;6378349;6771025;7121115;7522099;7895043
BubbleSort values 0-4000;9034;30849;53029;79957;111187;149588;200242;249746;304355;363261;430668;514923;600714;665129;772852;852941;964993;1077737;1164326;1299588;1418566;1554845;1674168;1819916;1983229;2120160;2309152;2450072;2614593;2786337;2968636;3155158;3368427;3558158;3780109;3982454;4197141;4409500;4639009;4876238;5122752
BubbleSort sorted values 0-4000;1747;6443;14133;24618;37913;56490;74774;96302;120331;149356;182616;216491;253183;288418;330617;375246;424267;474326;527971;586734;645333;723399;789808;843373;912180;989995;1078627;1161061;1230787;1318753;1402438;1522364;1617449;1706673;1780909;1890308;1989843;2116740;2225483;2347657;2441192
BubbleSort almost sorted values 0-4000;3678;12797;23284;40122;61783;86951;116919;152327;195176;238735;286340;338870;394790;454251;519662;579455;648714;720977;805950;886407;967238;1047339;1136962;1255512;1365018;1439400;1536468;1646051;1754192;1872823;1995599;2111688;2214754;2348532;2479755;2589809;2721318;2877650;2988188;3132227;3261751
BubbleSort reversed values 0-4000;4941;21294;47445;84549;132936;193325;263323;344642;436778;540267;654069;782605;914997;1067692;1230889;1392508;1585856;1763673;1965765;2183371;2401775;2634665;2878379;3141101;3404319;3680056;3978136;4283238;4591450;4911429;5248066;5599328;5949601;6318212;6690493;7093759;7916800;7961200;8336463;8781279;9184114
