Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
SecondIverson values 0-5;8451;25085;40507;61583;88027;118597;157599;201474;243302;293094;344833;405588;473318;540356;606459;689683;760367;841054;932806;1041026;1138960;1231590;1347213;1448794;1574954;1679307;1811732;1934219;2089865;2204859;2353412;2493647;2649683;2813463;2977722;3133910;3316447;3477476;3657367;3841152;4029577
SecondIverson sorted values 0-5;0;0;3;2;0;0;0;46;250;250;250;250;280;250;250;251;370;500;619;558;500;500;571;591;547;726;752;750;750;781;750;772;796;759;935;1119;1000;1001;1032;1000;1035
SecondIverson almost sorted values 0-5;1371;5271;11382;18873;28021;38896;52378;76927;108888;145622;185787;234004;285161;338406;394379;449512;517723;588600;644840;730876;799792;876893;955918;1056084;1137756;1240543;1332452;1440762;1516318;1649261;1737051;1848760;1976364;2093801;2186531;2290469;2417278;2526677;2659120;2782564;2927224
SecondIverson reversed values 0-5;0;1;0;0;0;0;65121;160556;234961;310305;394805;468141;540190;694777;870541;1022596;1171934;1314846;1480942;1612711;1854970;2082548;2343485;2616515;2778118;3029832;3229978;3539094;3864221;4175524;4476982;4770259;5060019;5406800;5798369;6149492;6579525;6934177;7280059;7763490;8033467
SecondIverson values 0-4000;9165;33207;55706;83411;117828;156637;219460;264487;308618;369489;439154;516449;594059;680868;768565;878937;974288;1095556;1198091;1334570;1480892;1576358;1729762;1852940;2003849;2170496;2333445;2505677;2688839;2846403;3043193;3244817;3429016;3655392;3849515;4081497;4284020;4504617;4741755;4983770;5229107
SecondIverson sorted values 0-4000;0;4;2;4;7;8;0;60;250;250;271;297;259;250;250;262;388;553;500;500;500;535;500;500;529;751;750;750;750;787;750;750;869;791;1046;1037;1005;1102;1000;1001;1001
SecondIverson almost sorted values 0-4000;1721;7464;18160;33419;54257;79505;107939;142092;184129;225044;274604;326204;376717;438064;507055;570349;632006;707543;787679;882923;966142;1039742;1141333;1242247;1344541;1456608;1556302;1641918;1757205;1878435;2022819;2123758;2242898;2369520;2493753;2635512;2759553;2893712;3023298;3160846;3298283
SecondIverson reversed values 0-4000;4878;20677;47323;84394;135731;196903;265277;347904;447340;547429;651587;776576;936847;1065151;1241528;1407339;1580713;1772116;2019689;2214493;2402590;2654888;2886920;3152274;3422421;3684504;3991290;4282414;4604501;4921970;5259978;5591787;5948265;6305949;6699091;7074155;7458084;7882030;8292305;8720626;9180260
