Sort;50;100;150;200;250;300
HeapSort values 0-5;3018;7448;12267;17466;22647;28335
HeapSort sorted values 0-5;851;5055;10342;16031;22066;28455
HeapSort almost sorted values 0-5;1212;5465;10501;16132;22062;28606
HeapSort reversed values 0-5;1015;4574;9225;14358;19378;25373
HeapSort values 0-4000;3506;8730;14537;20748;27142;33869
HeapSort sorted values 0-4000;3977;9749;16021;22787;29565;36968
HeapSort almost sorted values 0-4000;3577;8717;14428;20729;27863;36290
HeapSort reversed values 0-4000;3000;7500;12781;18500;24497;30271
