Sort;50;100;150;200;250;300
BubbleSort values 0-5;6546;25786;57339;103515;164743;236178
BubbleSort sorted values 0-5;4800;19600;44400;79200;124000;178800
BubbleSort almost sorted values 0-5;5055;20854;47286;84714;132136;189570
BubbleSort reversed values 0-5;4944;26944;66198;123432;198622;290172
BubbleSort values 0-4000;6726;26980;61152;109197;171739;244854
BubbleSort sorted values 0-4000;4800;19600;44400;79200;124000;178800
BubbleSort almost sorted values 0-4000;5493;22210;49164;87303;136948;195450
BubbleSort reversed values 0-4000;8322;34138;77460;138282;216604;312426
