Sort;50;100;150;200;250;300
MergeSort values 0-5;2159;3858;6102;7641;9631;12378
MergeSort sorted values 0-5;1085;2202;3413;4848;6192;7960
MergeSort almost sorted values 0-5;1076;2437;3647;4961;6338;7817
MergeSort reversed values 0-5;1023;2365;3714;5058;6375;8209
MergeSort values 0-4000;1824;4187;6632;9238;12039;14705
MergeSort sorted values 0-4000;1007;2262;3693;4923;6194;7484
MergeSort almost sorted values 0-4000;1228;2305;3612;4967;6105;7738
MergeSort reversed values 0-4000;1072;2326;3402;4798;6344;7625
