Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
RadixSort values 0-5;2680;3489;4670;5181;5813;7050;8630;8807;9440;9826;10562;11471;12222;13540;13657;14948;15497;16232;16341;18076;19113;19421;19856;20901;22967;22643;50962;55046;57162;58929;60230;62726;64147;66157;69283;69916;71668;48951;32610;34886;33751
RadixSort sorted values 0-5;2488;3293;4419;5246;5922;6905;8099;8996;9495;10448;11212;11896;12106;14140;13656;16005;16213;16927;19036;19015;20035;20324;21824;21552;24095;47631;48686;50827;52844;54394;56215;57803;59217;64516;64341;65153;66304;71360;70427;73983;73734
RadixSort almost sorted values 0-5;3017;4803;6820;8810;10415;11991;13767;15514;17190;19146;20466;22150;24226;26740;27495;29337;30872;32810;35500;36751;37962;40545;41834;43170;45303;47726;48745;51161;53516;54599;59263;58847;59610;61680;64543;69303;67042;68738;70337;73212;74079
RadixSort reversed values 0-5;3155;4724;6619;8295;9987;12110;13808;15468;16975;18944;20781;22119;23734;26520;27447;29025;30998;32527;37543;37577;39180;40008;41593;43486;45082;47063;48681;50621;52554;54549;55600;57660;59478;61297;64160;65958;66660;68649;76573;79937;79208
RadixSort values 0-4000;3727;5917;8102;10892;5753;6476;6874;7805;8527;9267;9727;10387;11391;11865;12365;13403;13643;14157;15166;15997;17002;16796;17376;17838;20153;20140;21594;21859;21851;23324;24241;24439;24381;25678;26634;26396;27776;28105;28426;29866;30160
RadixSort sorted values 0-4000;2674;3760;4565;5266;5777;6699;7580;8164;11333;22494;24114;26055;28114;30538;32477;33972;36075;38204;41598;42423;44597;46254;48417;50438;46360;22169;22424;22849;23672;25401;25548;25664;26424;27624;28983;28938;31718;30531;30674;32820;34380
RadixSort almost sorted values 0-4000;2655;3618;4603;5643;5706;6564;7325;8140;8841;9603;10244;11331;11610;12726;13395;14107;15019;15455;15955;17179;18095;18154;19852;20617;21363;21655;22286;23771;23689;25053;25696;25401;27142;26731;29042;29637;30001;30836;30369;33901;32463
RadixSort reversed values 0-4000;2757;3457;4433;5197;5748;6633;7300;7953;8825;9701;10697;11157;13680;12725;13308;14191;14732;15340;15654;17349;18004;18261;20923;20417;21333;21514;22659;23342;24441;25384;25009;26401;26677;26901;29637;28480;30408;31035;30554;76251;85510
