Sort;50;100;150;200;250;300
BinaryInsertionSort values 0-5;874;2745;3839;5396;7082;8720
BinaryInsertionSort sorted values 0-5;1;251;618;1021;1250;1539
BinaryInsertionSort almost sorted values 0-5;393;1042;1835;2433;3188;3834
BinaryInsertionSort reversed values 0-5;29;559;1205;1955;3023;4187
BinaryInsertionSort values 0-4000;1032;2663;4492;6538;8692;10998
BinaryInsertionSort sorted values 0-4000;10;254;607;1000;1272;1551
BinaryInsertionSort almost sorted values 0-4000;383;1050;1947;2718;3472;4366
BinaryInsertionSort reversed values 0-4000;251;526;1001;1501;2037;2749
