Sort;50;100;150;200;250;300
RadixSort values 0-5;2206;2764;3398;4317;5129;6841
RadixSort sorted values 0-5;1689;2438;3518;4619;5000;6721
RadixSort almost sorted values 0-5;1480;2702;3643;4541;5291;6547
RadixSort reversed values 0-5;1535;2380;3087;4215;5513;7031
RadixSort values 0-4000;1369;2079;2797;3629;4204;5482
RadixSort sorted values 0-4000;1313;2169;2841;3503;4186;5525
RadixSort almost sorted values 0-4000;1329;2119;2833;3876;4497;5044
RadixSort reversed values 0-4000;1321;2162;2815;3385;4041;5686
