Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
BubbleSort values 0-5;8037;26044;42360;64841;91140;127342;159642;201515;242953;292598;346216;412169;467200;538223;610664;690470;780462;860968;945005;1056860;1162819;1284665;1378088;1495274;1606819;1769438;1877977;2000030;2119126;2333363;2423772;2561015;2760541;2899897;3227761;3261825;3432333;3647949;3825287;4034195;4228167
BubbleSort sorted values 0-5;1747;6565;14560;24607;39008;54579;73431;109640;122167;146783;178972;210850;245829;286002;326206;382538;427966;483674;525281;577503;638159;705757;762339;835021;916468;1006513;1050157;1131169;1211078;1297006;1388726;1469502;1571320;1667382;1766276;1866477;1986805;2168719;2187090;2300809;2427104
BubbleSort almost sorted values 0-5;1761;6903;14230;24890;38819;54297;75840;96702;120057;146898;177106;210736;246699;288126;327729;371730;423244;474361;523796;618525;654073;700898;766073;830971;906348;973944;1055246;1141111;1216425;1299000;1399676;1490996;1574864;1679875;1774480;1883754;1984899;2082928;2221613;2305615;2433972
BubbleSort reversed values 0-5;1872;6744;14498;25514;39039;55438;83548;111124;140122;172932;206415;269460;287895;340735;391666;452337;520990;571697;625691;696504;779750;839852;923715;1041720;1121643;1221387;1281141;1436544;1482132;1579620;1747401;1833240;1911124;2037802;2162636;2381591;2424589;2547831;2704313;2961735;2975085
BubbleSort values 0-4000;9864;33130;55068;81298;113133;154317;202004;251534;307839;369582;448351;527962;599135;688642;790770;878553;993025;1125939;1302028;1325685;1475213;1623540;1770569;1890062;2044905;2365028;2619914;2699979;2883373;3030813;3299290;3499301;3560130;3749160;4020216;4187882;4563225;4752219;5023174;5260611;5505886
BubbleSort sorted values 0-4000;1841;6541;14454;24748;39352;54301;73092;96685;120092;147231;177127;211799;257376;287232;326507;371640;419500;468015;604148;576893;644089;737004;767292;832686;900046;976883;1048688;1131853;1211959;1309899;1418343;1507380;1579408;1657843;1787879;1876087;1992978;2072017;2196559;2321195;2411164
BubbleSort almost sorted values 0-4000;1966;6636;14257;24663;38081;54294;74384;95702;119436;147147;184130;225309;249902;290525;333242;382050;454352;520136;543217;596518;743553;737580;825916;864035;927117;977572;1054624;1133357;1217653;1376236;1386931;1502679;1572426;1681634;1761337;1867186;1970747;2077672;2196084;2312211;2427224
BubbleSort reversed values 0-4000;3351;10691;20783;35314;52393;78562;107539;170326;170753;206459;238721;345982;337530;413434;437184;499388;596215;618243;675609;752865;884542;926825;1003978;1108395;1168535;1509824;1717503;1597089;1572989;1710744;1771375;1979573;2008856;2344002;2304435;2564915;3015294;2670115;3034756;2993414;3491096
