Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
FirstIverson values 0-5;8759;25645;40725;62492;89425;121217;157762;199137;243654;291459;345455;406489;468570;543919;610757;690535;767285;857175;952079;1042632;1143648;1247427;1362184;1473989;1594844;1735034;1854838;1981976;2151626;2265188;2428556;2576798;2747397;2915225;3075191;3235872;3454800;3643978;3815462;4075873;4248448
FirstIverson sorted values 0-5;1856;6754;14988;25380;39145;55610;75126;98141;124560;150503;183117;210947;245789;286779;327631;371097;419102;468971;526249;577357;644423;717694;780844;842513;902154;975007;1047222;1133585;1208479;1296167;1383575;1506356;1570941;1658655;1794651;1869397;1976082;2097303;2198307;2292401;2411658
FirstIverson almost sorted values 0-5;1736;6806;14279;24935;38065;54217;74285;95295;121350;149230;179959;210331;246314;285248;329446;371111;419417;468932;527178;580549;639297;698515;772832;848234;917826;976928;1055300;1146352;1210420;1307213;1402659;1475954;1563959;1690255;1767773;1880201;1970271;2106550;2198332;2303643;2412578
FirstIverson reversed values 0-5;1761;6565;14277;25011;38359;54284;79918;109903;138409;171238;204874;243432;283834;351964;387053;441704;506914;558959;628080;700746;788271;862371;980481;1016000;1087508;1200653;1279834;1389822;1483919;1574635;1707402;1790503;1910752;2046264;2159121;2281666;2420711;2548483;2693693;2886695;2956701
FirstIverson values 0-4000;9581;34383;55587;82193;114346;155258;197809;249497;306227;369169;436672;515634;596428;678214;785675;891673;988270;1085434;1204053;1332591;1453537;1602086;1732722;1888672;2097990;2218879;2377431;2528804;2719554;2913706;3162738;3336565;3529381;3756413;3980010;4182157;4446539;4724527;4960701;5215179;5572982
FirstIverson sorted values 0-4000;1735;6610;14163;24862;38027;54166;73069;95247;119212;148439;177846;210361;247189;290959;333246;378165;428011;469264;522876;580672;638294;695540;776016;834648;914164;972609;1054183;1135348;1208271;1289809;1420948;1475376;1564262;1658737;1762477;1872215;1985305;2069293;2187863;2290680;2403717
FirstIverson almost sorted values 0-4000;1793;6568;14232;24742;38266;54790;73215;95269;119601;147822;178154;210333;249458;286633;328459;378274;429553;472163;524628;579232;641736;718858;765199;833711;905668;981040;1050557;1132620;1225362;1302854;1411429;1501793;1570108;1666416;1763173;1886209;1977260;2108468;2187688;2311765;2437402
FirstIverson reversed values 0-4000;3334;10390;21004;34943;52310;99871;105235;134688;188699;196431;232796;274783;322282;405634;443020;501838;554576;616029;688250;747138;817601;905365;984947;1079628;1153388;1303299;1570381;1494962;1778894;1660876;1762607;1937990;2251230;2188792;2326821;2399271;2622945;2712064;2780033;3035896;3171003
