Sort;50;100;150;200;250;300
QuickSort values 0-5;1661;2658;5034;7123;11666;12609
QuickSort sorted values 0-5;2464;5061;8365;9672;13268;18741
QuickSort almost sorted values 0-5;1331;2435;5911;6203;9052;17897
QuickSort reversed values 0-5;2105;7625;17434;37524;61631;74980
QuickSort values 0-4000;1316;2583;3861;7982;8706;12178
QuickSort sorted values 0-4000;2088;9117;20437;32851;49763;72793
QuickSort almost sorted values 0-4000;1457;3240;4913;6756;12378;18658
QuickSort reversed values 0-4000;1898;8182;17425;30028;52875;73845
