Sort;50;100;150;200;250;300
SelectionSort values 0-5;1949;3628;6754;10635;15759;21471
SelectionSort sorted values 0-5;700;2143;4419;7596;15224;19403
SelectionSort almost sorted values 0-5;1068;3147;8619;12112;17087;19548
SelectionSort reversed values 0-5;786;2479;5063;8873;13564;19375
SelectionSort values 0-4000;1719;4242;8093;12705;19188;24465
SelectionSort sorted values 0-4000;778;2205;4484;7554;11972;16286
SelectionSort almost sorted values 0-4000;1546;3713;6977;10901;14832;16991
SelectionSort reversed values 0-4000;1545;3812;7176;11554;16861;23308
