Sort;50;100;150;200;250;300
MergeSort values 0-5;3560;8210;13220;18520;23820;29550
MergeSort sorted values 0-5;3560;8210;13220;18520;23820;29550
MergeSort almost sorted values 0-5;3560;8210;13220;18520;23820;29550
MergeSort reversed values 0-5;3560;8210;13220;18520;23820;29550
MergeSort values 0-4000;3560;8210;13220;18520;23820;29550
MergeSort sorted values 0-4000;3560;8210;13220;18520;23820;29550
MergeSort almost sorted values 0-4000;3560;8210;13220;18520;23820;29550
MergeSort reversed values 0-4000;3560;8210;13220;18520;23820;29550
