Sort;50;100;150;200;250;300
QuickSort values 0-5;1339;4013;8192;11109;18045;20588
QuickSort sorted values 0-5;3961;8255;12278;15851;21726;26444
QuickSort almost sorted values 0-5;1942;4351;7616;10172;14179;27750
QuickSort reversed values 0-5;3914;13039;29664;51185;79710;114144
QuickSort values 0-4000;1025;2698;4245;6085;7851;9800
QuickSort sorted values 0-4000;2763;10381;22957;40425;62705;89691
QuickSort almost sorted values 0-4000;1733;4334;7250;10202;15131;21259
QuickSort reversed values 0-4000;3385;13035;28935;51085;79485;114135
