Sort;50;100;150;200;250;300
SelectionSort values 0-5;3854;15292;34198;60603;94539;135965
SelectionSort sorted values 0-5;3700;14900;33600;59800;93600;134800
SelectionSort almost sorted values 0-5;3714;14980;33759;60036;93784;134884
SelectionSort reversed values 0-5;3700;15094;33986;60431;94382;135865
SelectionSort values 0-4000;3910;15495;34596;61202;95333;136959
SelectionSort sorted values 0-4000;3700;14900;33600;59800;93600;134800
SelectionSort almost sorted values 0-4000;3710;14981;33756;60082;93766;134808
SelectionSort reversed values 0-4000;4300;17413;39228;69739;108948;156862
