Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
ShellSort values 0-5;4013;8061;13794;18223;23768;30320;35183;40329;51303;52432;62394;67810;76734;79365;87501;89337;101657;113429;107259;115736;132825;137182;142150;149142;163774;164856;174848;172591;181853;188549;195922;196299;213439;216813;219034;229147;232946;235935;243863;250758;321304
ShellSort sorted values 0-5;2507;6009;10506;14011;17516;24008;28013;32013;36003;40018;49500;54010;58500;63015;67515;72015;76505;81005;85515;90020;104997;110002;115012;120012;125002;130002;135002;140017;145007;150017;155002;160017;165007;170007;175012;180007;185012;190017;195017;200022;225484
ShellSort almost sorted values 0-5;2765;6687;11574;15919;19550;26516;30989;36111;42159;45610;54420;60070;65586;69573;75861;79815;87317;94031;94287;100928;115719;120262;125608;131670;141046;144480;151076;153301;159125;165899;171592;175329;182539;189663;193198;202975;203564;209487;214547;219462;275308
ShellSort reversed values 0-5;2507;6009;10506;14011;17516;24008;28013;33843;38913;43774;53826;58798;63360;68661;75537;81723;87551;92087;98049;103754;121017;127600;133534;139254;144364;148986;152012;161239;169643;177329;183574;190143;196435;202359;209110;213859;221150;227913;233651;239958;266794
ShellSort values 0-4000;5105;12633;19110;31015;36800;46118;57773;70929;91689;85942;101904;110578;131052;127965;142419;161109;170069;220349;202083;190946;235257;230206;244396;253122;273394;300180;302546;296047;318833;324683;461008;386913;381997;384069;406126;502915;426020;438735;433607;469104;888208
ShellSort sorted values 0-4000;2507;6009;10506;14011;17516;24008;28013;32013;36003;40018;49500;54010;58500;63015;67515;72015;76505;81005;85515;90020;104997;110002;115012;120012;125002;130002;135002;140017;145007;150017;155002;160017;165007;170007;175012;180007;185012;190017;195017;200022;225484
ShellSort almost sorted values 0-4000;4061;11187;17220;27391;31082;42590;47927;63363;75321;74482;90984;96526;117150;109839;124863;141117;147137;181559;160431;171578;206625;206068;211714;220764;258460;259926;258296;255235;284123;275531;369874;319197;334027;346101;341386;419821;378062;364041;377405;399498;690214
ShellSort reversed values 0-4000;4349;9471;16950;23977;28832;37634;44651;50619;59655;66754;79878;86758;93114;101667;108921;121263;127847;133847;141465;147218;170625;170926;178150;188694;196864;210774;217568;223375;234059;241103;260584;253425;262651;272955;290974;295783;304622;310551;316991;331062;367276
