Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
HeapSort values 0-5;3037;7087;11135;17354;20863;26374;33921;49338;45275;50809;53369;50565;60470;69349;72429;76128;79731;80917;83514;96923;101568;93659;98068;122164;111383;114928;100485;108710;126638;130981;135571;128522;125876;140734;154882;159898;163889;168309;175451;177781;182847
HeapSort sorted values 0-5;203;500;764;987;1285;1498;2487;5174;7966;11297;15030;19308;23654;30391;35276;45186;44993;50427;55585;60506;65652;70578;76066;82043;86727;75043;78633;83909;87605;91750;95730;108118;128285;127411;128369;136422;137108;143425;146298;150894;159232
HeapSort almost sorted values 0-5;207;568;732;944;1255;1536;2483;5220;8452;11942;15566;20305;24599;30109;35376;40585;45740;50539;56051;62399;67300;71860;77617;82850;87051;93096;97968;100408;101705;106270;117575;116457;119498;123278;132294;144121;143575;140311;152991;154161;153414
HeapSort reversed values 0-5;200;400;663;886;1217;1432;3239;10720;12409;15214;17968;19295;19874;26413;36518;37845;37972;38508;40230;37746;43828;50611;58203;58656;61940;64289;67277;75913;84143;86844;89602;110947;107873;110139;128481;137276;143860;148488;152883;160683;150536
HeapSort values 0-4000;2516;5775;9372;13014;16760;22269;27258;29712;34365;37571;42487;47075;51165;57113;60536;66231;69298;74115;78477;82957;91123;94995;99810;103081;109015;112474;118795;122714;129742;135295;140555;144620;147997;154366;159018;164095;168224;176126;178515;201249;193802
HeapSort sorted values 0-4000;2764;6063;9546;13410;16487;20710;23938;28116;32612;36011;40137;45460;48796;53627;60409;63144;67579;72158;76020;80544;85678;89156;96457;102109;103110;110038;116582;119994;123542;131358;137385;137142;142033;152582;158231;155655;161810;209504;211328;157955;180475
HeapSort almost sorted values 0-4000;2610;5921;9595;13502;17512;21708;26409;30406;35547;39537;43574;50788;54343;58379;67072;74227;114542;118641;83290;88256;93665;107755;103459;106814;110008;132581;124087;131043;134391;141248;148240;151443;162606;174456;173374;160325;113359;114775;139388;179429;197351
HeapSort reversed values 0-4000;1695;3862;5685;8478;10490;16074;16181;18647;20779;27114;25436;29281;31265;35881;38408;41091;44477;49576;71889;77397;81050;86110;89229;98230;107176;120223;104619;113362;117542;130582;147547;153763;145817;142460;150581;162068;173217;152889;127479;135830;145949
