Sort;50;100;150;200;250;300
RadixSort values 0-5;8000;11000;14000;17000;20000;23000
RadixSort sorted values 0-5;8000;11000;14000;17000;20000;23000
RadixSort almost sorted values 0-5;8000;11000;14000;17000;20000;23000
RadixSort reversed values 0-5;8000;11000;14000;17000;20000;23000
RadixSort values 0-4000;8000;11000;14000;17000;20000;23000
RadixSort sorted values 0-4000;8000;11000;14000;17000;20000;23000
RadixSort almost sorted values 0-4000;8000;11000;14000;17000;20000;23000
RadixSort reversed values 0-4000;8000;11000;14000;17000;20000;23000
