Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
CountingSort values 0-5;428;630;851;1107;1291;1684;1873;1918;2284;2839;2884;4132;3023;3173;5052;4237;4319;4878;5766;5148;5409;5656;6100;6180;6279;6700;6641;7142;7464;8003;8065;20722;8610;8397;9323;8985;9666;10062;9947;10625;10637
CountingSort sorted values 0-5;380;770;1027;1326;1885;1976;2338;2998;3336;3636;3915;4010;4570;4553;4957;5255;5577;5920;6540;6516;48678;7339;7558;8115;15538;8501;11332;8915;9530;9620;10708;10705;11055;11299;11444;11719;12030;13089;13022;12904;13054
CountingSort almost sorted values 0-5;420;729;1294;1587;2120;2103;2863;2833;3444;3644;3936;4725;4635;5268;5432;6252;6298;6712;7474;7778;7943;7871;9065;9925;9138;9455;10245;9756;10826;12770;10156;13228;11679;12647;12596;13214;13762;15151;13832;14707;14792
CountingSort reversed values 0-5;355;625;928;1359;1466;1754;2076;2373;2694;2949;3211;5037;4280;4678;4920;5246;5486;5877;6147;6385;6911;7552;7530;7821;8096;8325;8748;9155;9407;10052;11075;10364;11022;10979;11447;11742;11757;12525;12698;12897;13053
CountingSort values 0-4000;7795;8016;8253;8532;8709;8959;9194;9429;9656;8022;10131;31392;10637;10750;11030;11218;11440;11702;11933;12133;12411;12578;12816;11126;13256;13480;13715;13919;14172;12565;14553;14788;15150;15252;15638;15814;16160;16815;14873;17270;17265
CountingSort sorted values 0-4000;679;890;1521;1888;2427;2867;3327;3822;4298;4304;5103;5610;5810;6227;5844;6728;7817;8263;8512;8102;9562;9885;10348;10654;11069;11904;12296;12236;12742;13268;13760;14195;14754;14863;15996;16548;16903;17108;17248;18105;19363
CountingSort almost sorted values 0-4000;7980;8119;8469;8704;8843;9243;9267;9666;9860;15968;10395;10672;10903;10934;11159;11475;12010;12481;12291;12706;13236;11337;11523;12061;14069;14233;14659;14370;15465;15311;15807;13748;15934;16171;16577;16951;17406;17563;17806;18042;19522
CountingSort reversed values 0-4000;621;1007;1575;2055;2397;2899;3254;3487;3636;4582;5282;5133;5314;6294;6032;7274;7831;7923;8449;8779;9326;10254;10515;10983;11537;11409;12484;12647;13100;13488;13741;14452;15070;15357;16023;16525;16682;17240;17793;18111;18769
