Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
SelectionSort values 0-5;3077;10358;20031;34187;55257;88177;98281;123660;158121;189111;225382;265893;314833;364367;404331;458978;517428;572076;659763;710222;794171;846800;997883;1084087;1062566;1156876;1235588;1328081;1435379;1570641;1637952;1751844;1836979;1961618;2071423;2291415;2368977;2417639;2577220;2722312;2829316
SelectionSort sorted values 0-5;2009;7608;16293;29406;43720;61992;84067;109403;136702;169600;203107;240859;282498;330527;375195;431857;495675;549928;614757;679053;744617;802877;880447;964904;1036709;1122032;1208818;1323645;1409833;1492264;1589987;1710914;1823276;1910901;2021970;2285264;2294845;2382828;2517486;2656079;2772471
SelectionSort almost sorted values 0-5;2140;7760;16862;29984;45157;63349;86093;111670;138306;169443;203500;242134;283264;330000;381603;431441;490018;539311;608038;666186;755265;820575;898903;975330;1045218;1120326;1292934;1306725;1432440;1531951;1594197;1708080;1813513;1915665;2061605;2148995;2273453;2388716;2534260;2677091;2784284
SelectionSort reversed values 0-5;2146;8016;16361;28238;43771;61942;84313;110029;146026;175516;212240;246701;289413;346028;394617;449697;502985;562399;628865;688816;746051;829272;917399;995128;1079005;1164775;1291086;1400771;1422291;1527492;1625801;1729615;1840884;1950487;2068154;2179891;2313518;2445784;2585952;2709922;2826106
SelectionSort values 0-4000;4466;12961;25054;41285;60783;82778;109535;138650;177024;215359;248353;289870;337111;384545;445768;501489;566920;617623;704632;751073;829368;900569;981345;1060614;1147688;1251092;1333771;1430419;1533338;1636542;1738557;1845809;1953082;2071117;2197726;2349956;2452288;2722573;2693529;2852389;3032946
SelectionSort sorted values 0-4000;2300;8771;18426;31398;48313;69213;93410;121188;158666;181718;225700;276549;320710;361056;421370;512218;594341;581375;633172;695385;807327;825934;929527;1002628;1304789;1289693;1230241;1296140;1393104;1489042;1594209;1700903;1820559;1923237;2038942;2147968;2272013;2409699;2502297;2657145;2794335
SelectionSort almost sorted values 0-4000;2035;7602;16329;28756;43621;62157;86683;118194;144076;185777;226678;248600;283106;327174;382068;434508;494830;543057;603782;671177;735958;804320;904436;956920;1038913;1132934;1208867;1303660;1399530;1493920;1596955;1703791;1852137;1956987;2023898;2147657;2256619;2384467;2510797;2651816;2791228
SelectionSort reversed values 0-4000;5545;19811;29069;47005;67972;93653;122825;155749;194865;237641;278618;326971;378785;437807;495833;563126;629189;704946;785883;861073;950064;1053928;1129363;1229461;1327299;1420599;1568837;1655171;1758253;1895869;2026980;2166188;2265779;2407359;2543000;2683282;2842318;3029710;3155217;3313499;3493015
