Sort;50;100;150;200;250;300
InsertionSort values 0-5;1194;4638;10192;17774;27490;39226
InsertionSort sorted values 0-5;250;500;1000;1250;1500;2000
InsertionSort almost sorted values 0-5;519;1768;3457;5446;7622;9883
InsertionSort reversed values 0-5;424;5664;15866;31030;51169;76204
InsertionSort values 0-4000;1407;5421;11942;20937;32497;46473
InsertionSort sorted values 0-4000;250;500;1000;1250;1500;2000
InsertionSort almost sorted values 0-4000;587;1988;4001;6479;9221;12186
InsertionSort reversed values 0-4000;2500;10250;23000;40750;63250;91000
