Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
SecondIverson values 0-5;7898;22520;44585;73294;108450;150460;200018;257953;321420;387397;468565;556008;641748;746983;854775;945074;1074303;1195526;1328211;1460697;1722849;1862558;2384679;2087400;2242679;2429438;2629416;2847305;3020876;3248724;3448855;3642290;3887631;4149075;4363083;4613230;4871113;5148928;5473410;5703668;5950308
SecondIverson sorted values 0-5;0;100;101;200;300;378;400;427;500;584;677;698;776;801;877;975;1022;1074;1121;1144;1268;1258;1303;1376;1400;1455;1500;1600;1731;1700;1702;1801;1851;1978;1999;2001;2179;2109;2198;2244;2384
SecondIverson almost sorted values 0-5;6;169;143;269;390;442;574;993;1986;3423;4100;4102;4545;8916;25167;29710;45265;69301;73324;87918;89275;104608;125137;180032;210298;297374;363054;433610;478983;573195;602047;633769;729300;859802;1087150;1217861;1268157;1375507;1607161;1857195;2070914
SecondIverson reversed values 0-5;1;100;101;200;300;376;112795;204991;255721;303372;354188;406576;458082;650401;773693;873328;975747;1076525;1176114;1307122;1559252;1739481;1894614;2028696;2194072;2308462;2489408;2811830;2993342;3250641;3416399;3621586;3831109;4060261;4562377;4668444;4942816;5191099;5429149;5698476;5966245
SecondIverson values 0-4000;8728;27553;52594;88090;127678;177059;234415;314123;370733;455637;539046;640487;746332;853270;993722;1101592;1241780;1390902;1552245;1698947;1888139;2045472;2240611;2430912;2656611;2824922;3070104;3259351;3504813;3767987;4021845;4293205;4527103;4837515;5111796;5410621;5701151;6016351;6328540;6697522;6998589
SecondIverson sorted values 0-4000;0;100;100;200;371;300;400;481;500;581;681;701;773;823;895;968;1159;1125;1098;1150;1200;1200;1380;1305;1400;1462;1500;1600;1675;1700;1701;1800;1927;1900;1997;2001;2183;2164;2476;2231;2381
SecondIverson almost sorted values 0-4000;6;108;134;444;1134;3361;4234;6054;6830;7592;11436;19686;23895;29908;32472;49687;53991;65916;71122;121713;142324;151978;202008;249234;320147;412500;480518;510446;605679;707623;815067;877154;1001297;1105062;1214290;1326995;1437133;1577847;1847494;2110952;2355084
SecondIverson reversed values 0-4000;4530;16355;36119;64108;98325;141266;191729;248243;318922;388759;466715;544226;645991;735038;845713;982712;1114017;1237598;1377200;1509088;1684434;1848915;2017542;2195263;2350790;2570920;2760181;2964729;3187892;3384021;3609325;3840731;4090143;4358119;4616532;4870540;5149153;5426397;5711907;6018717;6322314
