Sort;50;100;150;200;250;300
InsertionSort values 0-5;599;1825;3505;5041;7549;10461
InsertionSort sorted values 0-5;1;0;100;100;100;200
InsertionSort almost sorted values 0-5;4;41;106;157;201;274
InsertionSort reversed values 0-5;60;1588;3752;6993;11321;16590
InsertionSort values 0-4000;507;1632;3118;5180;8020;10853
InsertionSort sorted values 0-4000;1;0;100;100;100;200
InsertionSort almost sorted values 0-4000;1;50;110;157;224;288
InsertionSort reversed values 0-4000;610;2422;5342;8819;13813;19277
