Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
FirstIverson values 0-5;20841;90224;205371;370961;571392;822863;1116793;1458829;1855037;2279721;2734790;3287777;3864221;4499780;5173786;5866616;6609507;7426025;8286980;9160370;10106855;11056198;12098863;13216498;14364963;15526399;16751856;18014925;19357164;20697799;22126498;23577866;25045915;26591455;28169972;29826701;31525672;33219264;35034677;36839067;38668939
FirstIverson sorted values 0-5;299;599;899;1199;1499;1799;2099;2399;2699;2999;3299;3599;3899;4199;4499;4799;5099;5399;5699;5999;6299;6599;6899;7199;7499;7799;8099;8399;8699;8999;9299;9599;9899;10199;10499;10799;11099;11399;11699;11999;12299
FirstIverson almost sorted values 0-5;6746;26152;64347;114410;176233;261471;353286;598825;894992;1138938;1554008;1879149;2457737;2836468;3415380;3948275;4327494;5013103;5661254;6393029;7067543;7792930;8335502;9245790;10089507;10972106;11866380;12643117;13704620;14717976;15690230;16659037;17817563;18866217;20096212;21095818;22431519;23673590;24745559;26172903;27572168
FirstIverson reversed values 0-5;299;599;899;1199;1499;1799;2099;1210769;1704569;2198369;2692169;3185969;3679769;5026740;5969240;6911740;7854240;8796740;9739240;10681740;12666505;14084305;15502105;16919905;18337705;19755505;21173305;23673756;25585756;27497756;29409756;31321756;33233756;35145756;38156385;40548585;42940785;45332985;47725185;50117385;52509585
FirstIverson values 0-4000;24078;94256;222800;399880;623525;888159;1212751;1594502;2004208;2485325;3013103;3607315;4228034;4884346;5619261;6400816;7199243;8074503;8958325;9967918;10995853;12045535;13186995;14339569;15603195;16846824;18148351;19491620;20917722;22364984;23926147;25507264;27107532;28824188;30566581;32390044;34295057;36139178;38071577;40019600;42105478
FirstIverson sorted values 0-4000;299;599;899;1199;1499;1799;2099;2399;2699;2999;3299;3599;3899;4199;4499;4799;5099;5399;5699;5999;6299;6599;6899;7199;7499;7799;8099;8399;8699;8999;9299;9599;9899;10199;10499;10799;11099;11399;11699;11999;12299
FirstIverson almost sorted values 0-4000;8841;38745;81076;265236;372192;651634;901273;1156888;1405708;1758283;2202214;2611758;3080673;3518081;3955661;4612711;5223832;5797120;6372548;7188247;7868891;8546491;9467009;10340748;11169740;12062673;12993264;13965364;14859908;15812308;16724824;18022593;19049297;20336582;21603291;22750955;24085516;25394607;26675223;27986943;29380504
FirstIverson reversed values 0-4000;34023;138119;312220;556302;870368;1254406;1708417;2232478;2826549;3490666;4224728;5028815;5902892;6846914;7860917;8944975;10099029;11322965;12617040;13981082;15415120;16919139;18493143;20137122;21851252;23635206;25489300;27413362;29407352;31471414;33605484;35809510;38083608;40427634;42841704;45325782;47879864;50503894;53197949;55961998;58796052
