Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
SelectionSort values 0-5;15250;60500;135926;241250;376518;541966;737250;962602;1217990;1503271;1818671;2163994;2539312;2944712;3380008;3845372;4340731;4866039;5421425;6006750;6622093;7267454;7942787;8648132;9383486;10148815;10944171;11769515;12624856;13510200;14425539;15370891;16346245;17351573;18386923;19452272;20547607;21672951;22828307;24013641;25229001
SelectionSort sorted values 0-5;14750;59750;134750;239750;374500;539500;734500;959500;1214500;1499250;1814250;2159250;2534250;2939250;3374000;3839000;4334000;4859000;5414000;5998750;6613750;7258750;7933750;8638750;9373500;10138500;10933500;11758500;12613500;13498250;14413250;15358250;16333250;17338250;18373000;19438000;20533000;21658000;22813000;23997750;25212750
SelectionSort almost sorted values 0-5;15250;60732;136181;241609;377067;542527;737973;963424;1218851;1504283;1819733;2165164;2540599;2946038;3381451;3846868;4342284;4867709;5423121;6008539;6623945;7269336;7944729;8650121;9385502;10150904;10946291;11771661;12627004;13512344;14427703;15373044;16348402;17353736;18388820;19453842;20548867;21673880;22828901;24013915;25228776
SelectionSort reversed values 0-5;14750;59750;134750;239750;374500;539500;734570;959932;1215278;1500645;1815985;2161317;2536682;2942063;3377513;3842963;4338419;4863864;5419312;6004447;6618150;7263516;7939371;8645221;9381060;10146906;10942004;11766177;12621879;13507834;14423793;15369742;16345624;17349598;18382844;19448776;20545130;21671473;22827831;24014037;25227570
SelectionSort values 0-4000;15494;61130;136883;242682;378473;544310;740171;966025;1221893;1507786;1823663;2169570;2545493;2951387;3387270;3853235;4349147;4875081;5431033;6017000;6632928;7278859;7954797;8660750;9396708;10162698;10958660;11784611;12640589;13526533;14442505;15388511;16364496;17370439;18406465;19472419;20568453;21694405;22850392;24036401;25252351
SelectionSort sorted values 0-4000;14750;59750;134750;239750;374500;539500;734500;959500;1214500;1499250;1814250;2159250;2534250;2939250;3374000;3839000;4334000;4859000;5414000;5998750;6613750;7258750;7933750;8638750;9373500;10138500;10933500;11758500;12613500;13498250;14413250;15358250;16333250;17338250;18373000;19438000;20533000;21658000;22813000;23997750;25212750
SelectionSort almost sorted values 0-4000;15269;60962;136586;242290;377996;543719;739441;965191;1220945;1506702;1822465;2168218;2543982;2949741;3385513;3851277;4347032;4872774;5428509;6014248;6630013;7275747;7951442;8657135;9392852;10158472;10954162;11779851;12635417;13521012;14436520;15381979;16357505;17362861;18398135;19463280;20558310;21683080;22837300;24020217;25217153
SelectionSort reversed values 0-4000;16550;66343;149276;265344;414573;596986;812487;1061119;1342871;1657720;2005666;2386718;2800890;3248244;3728702;4242255;4788944;5368771;5981703;6627803;7307088;8019511;8765044;9543704;10355541;11200521;12078601;12989765;13934057;14911515;15922133;16965860;18042680;19152653;20295810;21472078;22681487;23924009;25199682;26508442;27850320
