Sort;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
InsertionSort values 0-5;1579;5103;10469;16327;24657;35220;45794;58633;77694;100317;113590;128544;150464;173785;200686;226341;253009;283255;316671;348293;383546;421750;458389;500779;548619;599395;646059;693132;747944;776239;827201;880999;937143;1006206;1058213;1113872;1171339;1242726;1299782;1368952;1433390
InsertionSort sorted values 0-5;1;100;200;228;301;400;498;500;600;698;701;800;951;991;1000;1100;1169;1200;1300;1468;1400;1541;1600;1600;1794;1966;1941;1979;2077;2100;2102;2201;2375;2303;2402;2590;2606;2657;2793;2788;2802
InsertionSort almost sorted values 0-5;6;108;208;294;422;440;545;588;686;795;841;940;1049;1141;1376;1314;1399;1488;1581;1777;1868;1920;1945;2108;2298;2273;2385;2560;2561;2724;2743;2901;2922;3094;3177;3265;3438;3549;3629;3655;3798
InsertionSort reversed values 0-5;11;326;246;405;393;400;5621;33039;61425;92965;118106;149838;177775;210746;275427;325629;379384;435707;490788;548863;622345;705342;785790;872531;953217;1030683;1143166;1248888;1339591;1446643;1550822;1661892;1774993;1881984;2035515;2175968;2300964;2434771;2596481;2731177;2852042
InsertionSort values 0-4000;1652;5186;11187;18530;28310;39881;53796;69463;88436;106537;129467;152552;179151;205238;235365;269137;302082;346972;380119;424233;463753;501780;547327;603376;647813;696947;756933;820785;866682;933712;993702;1064419;1125260;1224721;1272425;1335591;1447397;1490338;1568151;1664942;1733897
InsertionSort sorted values 0-4000;0;100;204;220;300;445;469;500;600;700;702;800;900;988;1077;1100;1214;1200;1300;1400;1411;1501;1600;1619;1700;1940;2006;1983;2000;2210;2671;2500;2554;2388;2564;2500;2616;2603;2700;2974;2805
InsertionSort almost sorted values 0-4000;5;107;207;275;330;437;535;630;670;769;820;925;1029;1123;1179;1352;1390;1448;1546;1675;1805;2024;2013;2123;2181;2377;2400;2495;2668;2716;2811;2983;3020;3111;3284;3298;3388;3625;3667;3834;3865
InsertionSort reversed values 0-4000;2523;8806;19695;33915;52625;75705;102054;132777;170079;206279;249210;296654;347698;402280;460855;524188;598824;681146;762099;835854;903246;1004945;1093997;1177903;1306140;1380607;1489874;1602396;1715496;1844563;2004360;2121080;2241736;2364192;2499060;2650896;2822757;2935536;3093225;3289122;3448164
